time,open,high,low,close,volume,return,return_pct,next_return,next_return_pct,next_close
2020-09-03,898.25,904.32,896.26,903.97,311653630,,,-0.0026881423056075437,-0.2688142305607544,901.54
2020-09-04,896.02,903.11,893.86,901.54,303593880,-0.0026881423056075437,-0.2688142305607544,-0.014741442420746709,-1.4741442420746709,888.25
2020-09-07,903.85,905.8,888.25,888.25,370574490,-0.014741442420746709,-1.4741442420746709,0.0021277793414016255,0.21277793414016255,890.14
2020-09-08,891.61,894.58,884.88,890.14,256864330,0.0021277793414016255,0.21277793414016255,-0.0009212034062057173,-0.09212034062057173,889.32
2020-09-09,883.68,892.4,881.57,889.32,272622260,-0.0009212034062057173,-0.09212034062057173,-0.000562227319749975,-0.0562227319749975,888.82
2020-09-10,895.29,896.78,888.82,888.82,276905000,-0.000562227319749975,-0.0562227319749975,0.0001687630791387118,0.01687630791387118,888.97
2020-09-11,888.82,890.98,884.67,888.97,262104080,0.0001687630791387118,0.01687630791387118,0.006299425177452633,0.6299425177452633,894.57
2020-09-14,891.89,895.31,891.89,894.57,310427650,0.006299425177452633,0.6299425177452633,0.001889175805135368,0.1889175805135368,896.26
2020-09-15,898.52,898.74,894.66,896.26,332459520,0.001889175805135368,0.1889175805135368,0.0013500546716354034,0.13500546716354034,897.47
2020-09-16,897.43,897.58,894.63,897.47,255058370,0.0013500546716354034,0.13500546716354034,-0.0038218547695187954,-0.38218547695187954,894.04
2020-09-17,897.47,899.41,890.93,894.04,360663950,-0.0038218547695187954,-0.38218547695187954,0.007728960672900742,0.7728960672900742,900.95
2020-09-18,896.08,902.11,895.82,900.95,292809860,0.007728960672900742,0.7728960672900742,0.007758477162994604,0.7758477162994604,907.94
2020-09-21,904.5,909.78,904.5,907.94,337085180,0.007758477162994604,0.7758477162994604,-0.0019274401392161966,-0.19274401392161966,906.19
2020-09-22,905.9,909.69,902.47,906.19,355442560,-0.0019274401392161966,-0.19274401392161966,0.006963219633851603,0.6963219633851603,912.5
2020-09-23,908.97,913.52,908.97,912.5,309473980,0.006963219633851603,0.6963219633851603,-0.0042958904109589025,-0.42958904109589025,908.58
2020-09-24,910.53,914.51,907.32,908.58,343099440,-0.0042958904109589025,-0.42958904109589025,-0.00034119174976343647,-0.03411917497634365,908.27
