Date,Open,High,Low,Close,Volume,Return,Return_Pct,Next_Return,Next_Return_Pct,Next_Close,High_Low_Spread,Close_Open_Change,DayOfWeek,Month,Year,MA7,MA14,MA30,Volatility_7,Volatility_14,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5
2020-10-14,931.89,940.18,931.89,940.18,366740820.0,0.011098444927193363,1.1098444927193363,0.002744155374502899,0.2744155374502899,942.76,8.289999999999964,8.289999999999964,2,10,2020,924.8714285714285,917.3385714285714,907.075,8.251243196375412,10.037295726165679,929.86,0.004352850955358978,925.83,0.0019805194805195825,924.0,0.005615776413739004,919.72,0.004422990815468486
2020-10-15,945.28,945.93,938.7,942.76,418039070.0,0.002744155374502899,0.2744155374502899,0.0005727862870719136,0.05727862870719136,943.3,7.2299999999999045,-2.519999999999982,3,10,2020,928.7414285714285,919.8021428571428,908.368,9.477996322310693,11.730159798617263,940.18,0.011098444927193363,929.86,0.004352850955358978,925.83,0.0019805194805195825,918.84,-0.000956812943069596
2020-10-16,944.03,946.23,935.98,943.3,376214380.0,0.0005727862870719136,0.05727862870719136,0.00041344217110150794,0.041344217110150794,943.69,10.25,-0.7300000000000182,4,10,2020,932.11,922.0021428571428,909.7600000000001,9.917403894166245,13.067353436108366,942.76,0.002744155374502899,940.18,0.011098444927193363,929.86,0.004352850955358978,924.0,0.005615776413739004
2020-10-19,945.01,946.29,941.92,943.69,337193640.0,0.00041344217110150794,0.041344217110150794,0.000773559113691924,0.0773559113691924,944.42,4.3700000000000045,-1.3199999999999363,0,10,2020,935.66,924.8385714285714,911.6080000000001,8.755145153947735,13.163923226959058,943.3,0.0005727862870719136,942.76,0.002744155374502899,940.18,0.011098444927193363,925.83,0.0019805194805195825
2020-10-20,941.0,944.54,937.32,944.42,365067740.0,0.000773559113691924,0.0773559113691924,-0.0057072065394633276,-0.5707206539463328,939.03,7.219999999999914,3.419999999999959,1,10,2020,938.5771428571428,927.6392857142856,913.4173333333333,7.540218198183759,12.833522488021252,943.69,0.00041344217110150794,943.3,0.0005727862870719136,942.76,0.002744155374502899,929.86,0.004352850955358978
2020-10-21,947.16,948.2,939.0,939.03,353904170.0,-0.0057072065394633276,-0.5707206539463328,0.011575775001863686,1.1575775001863686,949.9,9.200000000000045,-8.129999999999995,2,10,2020,940.4628571428572,929.4207142857143,915.0743333333334,5.065460539400543,12.535571825369958,944.42,0.000773559113691924,943.69,0.00041344217110150794,943.3,0.0005727862870719136,940.18,0.011098444927193363
2020-10-22,938.06,949.9,933.78,949.9,298972610.0,0.011575775001863686,1.1575775001863686,0.011959153595115346,1.1959153595115346,961.26,16.120000000000005,11.840000000000032,3,10,2020,943.3257142857143,932.2771428571428,917.1103333333333,3.493345374393894,12.301756865505855,939.03,-0.0057072065394633276,944.42,0.000773559113691924,943.69,0.00041344217110150794,942.76,0.002744155374502899
2020-10-23,953.45,961.26,953.14,961.26,370461040.0,0.011959153595115346,1.1959153595115346,-0.010881551297255765,-1.0881551297255765,950.8,8.120000000000005,7.809999999999945,4,10,2020,946.3371428571429,935.6042857142858,919.5200000000001,7.319869566886524,13.424146278132632,949.9,0.011575775001863686,939.03,-0.0057072065394633276,944.42,0.000773559113691924,943.3,0.0005727862870719136
2020-10-26,967.52,970.15,950.8,950.8,379914380.0,-0.010881551297255765,-1.0881551297255765,-0.0045540597391668936,-0.45540597391668936,946.47,19.350000000000023,-16.720000000000027,0,10,2020,947.4857142857143,938.1135714285714,921.3943333333333,7.2957701378815605,12.673664157883167,961.26,0.011959153595115346,949.9,0.011575775001863686,939.03,-0.0057072065394633276,943.69,0.00041344217110150794
2020-10-27,950.8,954.72,946.28,946.47,387034170.0,-0.0045540597391668936,-0.45540597391668936,-0.02685769226705559,-2.685769226705559,921.05,8.440000000000055,-4.329999999999927,1,10,2020,947.9385714285714,940.0242857142857,923.068,7.088082553537114,11.663479302958851,950.8,-0.010881551297255765,961.26,0.011959153595115346,949.9,0.011575775001863686,944.42,0.000773559113691924
2020-10-28,942.82,946.91,921.05,921.05,407659250.0,-0.02685769226705559,-2.685769226705559,-0.002138863253894896,-0.2138863253894896,919.08,25.860000000000014,-21.770000000000095,2,10,2020,944.7042857142858,940.1821428571428,923.8539999999999,12.471074341777216,11.365868052788889,946.47,-0.0045540597391668936,950.8,-0.010881551297255765,961.26,0.011959153595115346,939.03,-0.0057072065394633276
