ticker,signal_date,entry_date,exit_date,buy_label,entry_price,exit_price,realized_return_net,exit_reason,ma10_ma50_ratio,close_ma10_ratio,dist_ma10_ma50_pct,ma10_slope_3d,ma50_slope_3d,return_3d,return_5d,rsi,macd_hist,volume_ratio_20,volume_change_pct,atr_pct,rolling_std_10,body_ratio,upper_wick_ratio,lower_wick_ratio,close_position
NLG,2023-07-14,2023-07-17,2023-07-18,1,32.72,33.79976,0.02999999999999992,target,1.0029416737109045,1.1121974243139372,0.0029416737109044717,0.012389501348168963,0.0018902951299493154,0.14231301939058172,0.1547077353867694,65.3983353151011,0.19183399306378174,2.1131348839265582,-0.14882240845925243,0.028818256614558543,0.03354154259107415,0.9543147208121828,0.0,0.04568527918781713,1.0
TDM,2023-07-14,2023-07-17,2023-07-21,0,37.16,36.51,-0.020491926803013923,timeout,1.0014239722634968,1.0288042714626948,0.0014239722634968614,0.01709206276617037,0.0017195983469304732,0.007707129094412402,0.04749642346208849,74.84143763213534,0.27061844189598894,1.5604552511557264,0.8105702670036259,0.01900339485698675,0.01333581066044442,0.16363636363636316,0.0,0.8363636363636369,0.8363636363636369
VRE,2023-07-14,2023-07-17,2023-07-21,1,28.05,28.4,0.009477718360071278,timeout,1.0023033050599588,1.0213386832026263,0.0023033050599588797,0.01162361623616226,0.001574572485261383,0.02564102564102555,0.03703703703703698,65.85365853658539,0.1411787161715656,1.9001475328690216,0.4433826762214026,0.01938775510204081,0.012904409720764754,0.42857142857143005,0.0,0.57142857142857,0.57142857142857
EIB,2023-07-18,2023-07-19,2023-07-20,0,16.21,15.8858,-0.023000000000000017,stop,1.000302396492201,1.0183902254692025,0.00030239649220099293,-0.0005035880649625346,0.005078199202178224,0.024714828897338448,0.019546027742749272,49.206349206349216,-0.0014305207092893107,1.0129321321305285,-0.2021055969032417,0.022926053538298418,0.01372714276026492,0.6279069767441855,0.2790697674418547,0.09302325581395983,0.09302325581395983
SJS,2023-07-18,2023-07-19,2023-07-19,1,17.03,17.59199,0.02999999999999992,target,1.0054535958508946,1.0449383909156802,0.005453595850894579,0.01689085437012472,0.004085565149519521,0.04216867469879504,0.027926322043969165,81.68316831683177,0.11954878721229507,3.9382146535796303,1.4734685247090096,0.02316267547481415,0.014076637059061233,0.3734939759036164,0.27710843373493965,0.34939759036144397,0.7228915662650603
HDB,2023-07-19,2023-07-20,2023-07-26,1,10.46,10.62,0.012296367112810572,timeout,1.0029424716762079,1.0378205767887438,0.002942471676207913,0.00926578708832726,0.0029108867163187835,0.02564102564102555,0.04417670682730912,74.33628318584068,0.040895971141811066,1.2797751384594829,-0.01685527108277729,0.014835164835164812,0.010989300839775167,0.2499999999999963,0.0,0.7500000000000037,0.7500000000000037
BWE,2023-07-20,2023-07-21,2023-07-27,1,37.72,38.5,0.01767868504772008,timeout,1.0001020841280672,1.0132158590308369,0.00010208412806717804,0.013889645405523066,-0.0011109441415138033,0.011260053619303045,0.01698571043407915,63.736263736263744,0.18455846832372202,1.2601605379091716,-0.2715296572863338,0.015262838963793357,0.015042667711162664,0.0,1.0,0.0,0.0
VPI,2023-07-21,2023-07-24,2023-07-28,1,44.91,45.91,0.019266755733689526,timeout,1.0018215347899582,1.013106544248686,0.0018215347899582762,0.00947327670621445,0.0006377176041718613,0.011258725512272028,0.014915254237288122,77.85234899328863,0.16112001727018405,0.9558900737556092,0.02739110911540199,0.009240703629481166,0.009001356405626035,0.7575757575757615,0.0,0.24242424242423852,1.0
VJC,2023-07-24,2023-07-25,2023-07-31,1,96.9,100.0977,0.02999999999999992,target,1.0000415041089068,1.0043577505706578,4.1504108906832494e-05,0.010802307288935609,0.00029061319383894,0.0010341261633919352,-0.005138746145940343,63.636363636363626,0.3810322380914559,1.0207738315263521,-0.04114974105261615,0.012913223140495856,0.012860140549469733,0.7500000000000044,0.1874999999999989,0.06249999999999667,0.06249999999999667
KOS,2023-07-25,2023-07-26,2023-08-01,0,38.9,38.95,-0.0017146529562980213,timeout,1.0004701334656672,1.006396031849628,0.0004701334656672156,0.004326166754063943,0.000548790048607195,0.00390625,0.006527415143603221,70.83333333333353,0.06327214643774835,0.9768980620512652,-0.0987016439433146,0.006392440244580328,0.0006170437517973561,0.24999999999998224,0.7500000000000178,0.0,0.24999999999998224
PC1,2023-07-26,2023-07-27,2023-07-27,0,18.87,18.4926,-0.023000000000000128,stop,1.0020234200103322,1.0102040816326532,0.0020234200103322305,0.01626459993450502,0.0,-0.013633980073413876,0.01237890204520986,73.84615384615385,0.13462265990530528,1.0630507268051075,0.08044308626053676,0.024531024531024497,0.017642861776368576,0.0930232558139508,0.837209302325582,0.06976744186046722,0.16279069767441803
KDC,2023-07-28,2023-07-31,2023-08-04,1,60.69,61.17,0.004909045971329798,timeout,1.0007501206141076,1.0036487311991282,0.000750120614107685,0.006965918536991023,-0.0007198615752421755,-0.0031157756641521095,-0.0076722167809336606,70.58823529411768,0.16859480259942192,0.8712311716609794,-0.23334966410308833,0.014006063027283624,0.006349379113139297,0.14925373134328532,0.0,0.8507462686567147,1.0
SAB,2023-07-28,2023-07-31,2023-08-04,1,64.52,66.64916,0.02999999999999992,target,1.0001999056695121,1.0080727011539123,0.00019990566951217693,0.013338607594936436,-0.0002747947626619007,-0.006310604894566696,0.025575853852263686,67.96875000000003,0.39557215773158405,1.969352240686213,1.1409185872552445,0.012579660116834828,0.012892577658227948,0.9389312977099251,0.061068702290074925,0.0,0.0
VIC,2023-08-01,2023-08-02,2023-08-04,1,29.5,30.473499999999998,0.02999999999999992,target,1.009109350480346,1.1170111890764272,0.009109350480345849,0.016383962991519008,0.003186914452465217,0.1526418786692758,0.14368932038834958,82.05128205128204,0.29957805759713513,3.354932111698071,0.16068233348544791,0.021222410865874362,0.031071317260036008,0.11111111111111287,0.0,0.8888888888888872,1.0
EIB,2023-08-03,2023-08-04,2023-08-04,1,17.69,18.27377,0.02999999999999992,target,1.0094271839849365,1.0756580965821931,0.00942718398493636,0.028980931935850496,0.008167853128512537,0.06890243902439042,0.11941251596424007,68.62745098039218,0.20797097166301443,1.6248891405574957,-0.2727868583664026,0.028033575095754205,0.024501855193757582,0.6363636363636358,0.3636363636363642,0.0,0.0
GEE,2023-08-03,2023-08-04,2023-08-10,0,19.02,18.94,-0.007206098843322681,timeout,1.0007183452705415,0.9922938878919033,0.0007183452705415202,0.008034051609470572,0.0016718869042580131,-0.015191199580932402,-0.011566771819137678,69.1891891891892,0.04623210550965486,1.2541726275631855,1.7206896551724138,0.018427051671732527,0.008959484602481268,0.38888888888889106,0.6111111111111089,0.0,0.0
GEG,2023-08-04,2023-08-07,2023-08-10,1,14.76,15.247079999999999,0.02999999999999992,target,1.000448906301012,0.9939492827520565,0.000448906301012,0.003958774145109478,0.00016326530612253976,-0.022073578595317778,-0.006118286879673751,51.67785234899325,0.027265084674767327,1.3677952724506468,0.25682537002860983,0.020666406097322645,0.010088264499590618,0.0,0.32142857142857595,0.678571428571424,0.678571428571424
BHN,2023-08-08,2023-08-09,2023-08-15,0,39.85,39.053,-0.023000000000000128,stop,1.0004746665850035,1.0164779104173043,0.00047466658500358,0.007426442245920484,0.0002961162818007068,0.011421319796954377,0.02310654685494229,72.27722772277205,0.14149564714071755,0.8707023469299385,-0.3567498400511836,0.01222441297723609,0.003714512937918241,0.6210526315789491,0.3789473684210509,0.0,0.6210526315789491
POW,2023-08-08,2023-08-09,2023-08-09,0,11.74,11.5052,-0.023000000000000017,stop,1.005360972122945,1.0353714895129755,0.005360972122945005,0.011870503597122273,0.0008047929893588712,0.0439068100358424,0.04766187050359716,66.83673469387752,0.05368385455838985,2.3906097601301357,1.4172277302143184,0.022194972409564688,0.017437166496163472,0.8787878787878814,0.1212121212121186,0.0,0.8787878787878814
STB,2023-08-08,2023-08-09,2023-08-09,1,29.85,30.83505,0.02999999999999992,target,1.0006568485099911,1.0295387804456728,0.0006568485099910774,0.009944173063503037,0.004305256579404171,0.04195804195804187,0.029360967184801412,65.04854368932041,0.12348273142560925,0.5880733512343254,-0.6866941676346314,0.022171620325982733,0.016214824195704122,0.8461538461538491,0.07692307692307272,0.07692307692307819,0.07692307692307819
PC1,2023-08-10,2023-08-11,2023-08-11,0,18.68,18.3064,-0.023000000000000017,stop,1.0011614906158068,1.012685677111569,0.0011614906158069272,0.001465877626363854,-0.0025984430995094066,0.02356164383561632,0.02356164383561632,42.804428044280435,0.03585461903180617,1.1102783408805046,-0.2786253000745188,0.025275313551544828,0.016804116069435993,0.8214285714285696,0.053571428571430386,0.125,0.125
CTR,2023-08-25,2023-08-28,2023-08-28,1,74.18,76.62794,0.02999999999999992,target,1.004045222003192,1.0836315827916148,0.004045222003191854,0.009511871405397665,0.003795563695683457,0.07898181818181826,0.149186676994578,63.20553780617678,0.4226288649231932,3.4224964095843315,4.571770988197457,0.02914724800677889,0.032534131934080036,0.9238683127572009,0.0,0.07613168724279908,1.0
FRT,2023-08-29,2023-08-30,2023-08-30,1,64.8,66.93839999999999,0.02999999999999992,target,1.0023512437545088,1.0795681727309077,0.0023512437545088745,0.020816326530612272,0.013485336727233177,0.051948051948051965,0.08288770053475925,56.75675675675676,0.4583967278189569,0.9896668942018173,-0.3067757797031382,0.0353615520282187,0.03572406083547247,0.2083333333333287,0.20833333333333612,0.5833333333333351,0.7916666666666639
HCM,2023-08-31,2023-09-05,2023-09-06,1,16.65,17.19945,0.02999999999999992,target,1.0029299968324357,1.0869851296223187,0.0029299968324357096,0.017064846416382284,0.007593388034097037,0.08256880733944949,0.09913506320691945,67.53812636165577,0.14830430393960042,1.1724187208162662,-0.4455193564251836,0.03463334486336907,0.034726160398401346,0.37500000000000666,0.5749999999999942,0.049999999999999115,0.049999999999999115
KDC,2023-08-31,2023-09-05,2023-09-05,0,63.83,62.553399999999996,-0.023000000000000017,stop,1.0047852428006403,1.0456333207168365,0.004785242800640246,0.0102576891105568,0.0014140898990266937,0.03552803129074311,0.05355662410877127,68.74999999999997,0.25134520725104603,1.1881295341044789,0.2516332472870968,0.02904806870812536,0.010961902328582913,0.5991561181434613,0.0,0.40084388185653874,1.0
VHC,2023-08-31,2023-09-05,2023-09-05,0,59.87,58.672599999999996,-0.023000000000000017,stop,1.0012223361316825,1.052575049675098,0.0012223361316826028,0.01113162467419615,0.012150566893423864,0.019771071800208206,0.06753812636165568,59.58840037418147,0.24461288187410246,0.8499792936774289,-0.44804285928150245,0.029069484936831876,0.02075497846472047,1.0,0.0,0.0,0.0
