feature,importance
ma50_slope_3d,0.08108869812500208
macd_hist,0.07823890668805727
ma10_slope_3d,0.07767332072672643
rsi,0.07576016954334966
close_ma10_ratio,0.07115455033616211
rolling_std_10,0.06934617189984044
dist_ma10_ma50_pct,0.06824281159955864
atr_pct,0.06556972550081878
ma10_ma50_ratio,0.0611012044554627
return_3d,0.05793397746525326
return_5d,0.053640623675613196
volume_change_pct,0.053251806302818554
volume_ratio_20,0.042604888241873244
lower_wick_ratio,0.04066665852538704
body_ratio,0.040553092524698145
close_position,0.03172616530157193
upper_wick_ratio,0.031447229087806526
